title,ref,location,mileage,specs,transmission,engine_capacity,seller_expectation,current_bid,auction_status,auction_end_date,live_time,cache_key,scraped_at
2019 Dodge Charger GT,Ref# 421579,Dubai,"149,719 km",GCC Specs,Automatic,3600 cc,"AED 69,875","AED 44,500",Ended,"Jan 29, 2026  at 1:05 PM",Thursday at 12:44 PM,2019_Dodge_Charger_GT_Thursday_1244PM,2026-01-29 08:27:28.557926
2016 Porsche Cayenne Gts,Ref# 423124,Dubai,"134,677 km",GCC Specs,Automatic,3600 cc,"AED 81,620","AED 68,000",Ended,"Jan 29, 2026  at 12:25 PM",Thursday at 12:10 PM,2016_Porsche_Cayenne_Gts_Thursday_1210PM,2026-01-29 08:28:26.965417
2024 MINI Countryman Cooper S,Ref# 398648,Abu Dhabi,"27,840 km",GCC Specs,Automatic,2000 cc,"AED 135,850","AED 94,000",Ended,"Jan 29, 2026  at 12:33 PM",Thursday at 12:15 PM,2024_MINI_Countryman_Cooper_S_Thursday_1215PM,2026-01-29 08:28:49.204786
2017 Nissan Pathfinder Sv,Ref# 421363,Dubai,"105,789 km",GCC Specs,Automatic,3500 cc,"AED 43,600","AED 27,000",Ended,"Jan 29, 2026  at 12:28 PM",Thursday at 12:10 PM,2017_Nissan_Pathfinder_Sv_Thursday_1210PM,2026-01-29 08:29:05.969816
2022 Infiniti QX80 Sensory Proactive,Ref# 422258,Abu Dhabi,"38,532 km",GCC Specs,Automatic,5600 cc,"AED 193,325","AED 153,500",Ended,"Jan 29, 2026  at 12:25 PM",Thursday at 12:06 PM,2022_Infiniti_QX80_Sensory_Proactive_Thursday_1206PM,2026-01-29 08:29:22.651943
2020 Kia Pegas STD,Ref# 421416,Dubai,"72,890 km",GCC Specs,Automatic,1400 cc,"AED 23,415","AED 16,000",Ended,"Jan 29, 2026  at 12:20 PM",Thursday at 12:05 PM,2020_Kia_Pegas_STD_Thursday_1205PM,2026-01-29 08:29:39.346218
2016 Honda CR-V Ex,Ref# 422731,Abu Dhabi,"149,412 km",GCC Specs,Automatic,2400 cc,"AED 49,050","AED 31,000",Ended,"Jan 29, 2026  at 12:23 PM",Thursday at 12:05 PM,2016_Honda_CRV_Ex_Thursday_1205PM,2026-01-29 08:30:22.585725
2025 Jeep Wrangler Unlimited Sport,Ref# 421907,Dubai,239 km,GCC Specs,Automatic,2000 cc,"AED 221,540","AED 160,000",Ended,"Jan 29, 2026  at 12:15 PM",Thursday at 12:01 PM,2025_Jeep_Wrangler_Unlimited_Sport_Thursday_1201PM,2026-01-29 08:30:44.775652
2025 Jetour X70 Plus Luxury,Ref# 276404,Fujairah,"37,882 km",GCC Specs,Automatic,1600 cc,"AED 106,011","AED 67,000",Ended,"Jan 29, 2026  at 12:17 PM",Thursday at 12:00 PM,2025_Jetour_X70_Plus_Luxury_Thursday_1200PM,2026-01-29 08:31:33.127251
2023 Fiat 500 Abarth,Ref# 420829,Dubai,"39,004 km",GCC Specs,Automatic,1400 cc,"AED 63,425","AED 28,500",,,Thursday at 1:55 PM,2023_Fiat_500_Abarth_Thursday_155PM,2026-01-29 08:33:31.966552
2020 Ford Escort Ambiente,Ref# 422920,Dubai,"122,558 km",GCC Specs,Automatic,1500 cc,"AED 25,645","AED 10,000",,,Thursday at 1:50 PM,2020_Ford_Escort_Ambiente_Thursday_150PM,2026-01-29 08:33:51.253867
2022 Tesla Model Y Performance,Ref# 422635,Dubai,"63,720 km",GCC Specs,Automatic,75 cc,"AED 132,500","AED 81,000",,,Thursday at 2:40 PM,2022_Tesla_Model_Y_Performance_Thursday_240PM,2026-01-29 09:31:07.902699
2017 Jeep Wrangler Sahara,Ref# 415930,Dubai,"137,425 km",GCC Specs,Automatic,3600 cc,"AED 62,350","AED 41,500",,,Thursday at 2:40 PM,2017_Jeep_Wrangler_Sahara_Thursday_240PM,2026-01-29 09:31:28.183738
2018 Cadillac Escalade Other,Ref# 422992,Dubai,"116,426 km",GCC Specs,Automatic,6200 cc,"AED 144,210","AED 60,000",Ended,"Jan 29, 2026  at 2:35 PM",Thursday at 2:16 PM,2018_Cadillac_Escalade_Other_Thursday_216PM,2026-01-29 09:32:15.318735
2018 Mitsubishi Pajero Gls,Ref# 418841,Dubai,"96,329 km",GCC Specs,Automatic,3800 cc,"AED 68,800","AED 44,000",Ended,"Jan 29, 2026  at 2:34 PM",Thursday at 2:15 PM,2018_Mitsubishi_Pajero_Gls_Thursday_215PM,2026-01-29 09:32:56.027294
2015 Mazda CX-9 GTX,Ref# 422366,Dubai,"272,168 km",GCC Specs,Automatic,3700 cc,"AED 22,300","AED 11,000",Ended,"Jan 29, 2026  at 2:25 PM",Thursday at 2:10 PM,2015_Mazda_CX9_GTX_Thursday_210PM,2026-01-29 09:33:27.827329
2011 Mercedes-Benz M-Class Ml 350,Ref# 422846,Abu Dhabi,"243,093 km",GCC Specs,Automatic,3500 cc,"AED 22,300","AED 12,000",Ended,"Jan 29, 2026  at 2:25 PM",Thursday at 2:10 PM,2011_MercedesBenz_MClass_Ml_350_Thursday_210PM,2026-01-29 09:33:50.630375
